epoch,seed,method,train_loss,val_loss
1,2024,unet_seg,1.3162681268433394,1.1132967472076416
2,2024,unet_seg,0.7985733780315367,0.7508847463130951
3,2024,unet_seg,0.5362657000452785,0.5229856944084168
4,2024,unet_seg,0.4344482915633816,0.4667476785182953
5,2024,unet_seg,0.3963678083303621,0.42727732211351394
6,2024,unet_seg,0.3523921609808833,0.36471028953790663
7,2024,unet_seg,0.3250207522157895,0.3327762311697006
8,2024,unet_seg,0.30250329120179353,0.33449740678071976
9,2024,unet_seg,0.2957342258196766,0.35352388679981234
10,2024,unet_seg,0.2935701868796753,0.325777690410614
11,2024,unet_seg,0.2832821425745043,0.31191821575164796
12,2024,unet_seg,0.2734710926474151,0.3215999364852905
13,2024,unet_seg,0.2727187035321179,0.31018543303012847
14,2024,unet_seg,0.271573706956233,0.31053110301494596
15,2024,unet_seg,0.2656535480360864,0.29618003517389296
16,2024,unet_seg,0.26758344452512467,0.31803012400865555
17,2024,unet_seg,0.26216135306631105,0.29538933247327803
18,2024,unet_seg,0.259453651384782,0.29621634155511856
19,2024,unet_seg,0.2610773949931234,0.32969089329242707
20,2024,unet_seg,0.2618273506098885,0.28749943733215333
21,2024,unet_seg,0.2567732798851142,0.2820752391219139
22,2024,unet_seg,0.2559086286415488,0.2802655392885208
23,2024,unet_seg,0.26134103107250345,0.2867492938041687
24,2024,unet_seg,0.25061005751712845,0.27969493687152863
25,2024,unet_seg,0.2456515199678429,0.27670990735292433
26,2024,unet_seg,0.24570839599532596,0.28122799456119535
27,2024,unet_seg,0.24555365829649617,0.27144507616758345
28,2024,unet_seg,0.24310103014616644,0.2865258690714836
29,2024,unet_seg,0.24237519717317516,0.27147019624710084
30,2024,unet_seg,0.24161315469418543,0.26947201550006866
31,2024,unet_seg,0.23864077056868602,0.2679595851898193
32,2024,unet_seg,0.2369406460074045,0.2736003538966179
33,2024,unet_seg,0.24027612704341694,0.2651993426680565
34,2024,unet_seg,0.2350619431521933,0.2682276913523674
35,2024,unet_seg,0.22863259892595017,0.2835534998774529
36,2024,unet_seg,0.23340535214391805,0.28162998050451277
37,2024,unet_seg,0.23130459281600127,0.2705031406879425
38,2024,unet_seg,0.22681819338162065,0.2669675862789154
39,2024,unet_seg,0.22443586354285983,0.2877554607391357
40,2024,unet_seg,0.22342958402330593,0.27067736208438875
41,2024,unet_seg,0.21906824529928676,0.26682951629161833
42,2024,unet_seg,0.21773606762921405,0.2574171867966652
43,2024,unet_seg,0.22258925728373607,0.2641305449604988
44,2024,unet_seg,0.2194220735612562,0.26582947790622713
45,2024,unet_seg,0.21940680006045407,0.27103701531887053
46,2024,unet_seg,0.21547393147218025,0.26154166251420974
47,2024,unet_seg,0.21257931322364484,0.278289749622345
48,2024,unet_seg,0.21594960526642154,0.2591481891274452
49,2024,unet_seg,0.21904061759932567,0.2544130843877792
50,2024,unet_seg,0.21327185510831365,0.2530991825461388
51,2024,unet_seg,0.21266846731305122,0.2551717555522919
52,2024,unet_seg,0.20958379397200325,0.2458186414837837
53,2024,unet_seg,0.2099300848983102,0.24613941967487335
54,2024,unet_seg,0.2092406088644165,0.24263087719678877
55,2024,unet_seg,0.21707441638839448,0.2429982030391693
56,2024,unet_seg,0.20464645843889753,0.2727991396188736
